campaign	source_path	line	event_class	matched_token	source_evidence	ownership_unit	review_status
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	150	failure-or-loss	assert	assert(m_buffer != nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	151	mapping-or-host-visibility	mapSizeInBytes	m_buffer->flushContents(mapSizeInBytes); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	151	synchronization-or-submission	flushContents	m_buffer->flushContents(mapSizeInBytes); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	158	failure-or-loss	assert	assert(m_buffer == nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	161	mapping-or-host-visibility	map	void* map##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	161	mapping-or-host-visibility	mapSizeInBytes	void* map##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	163	failure-or-loss	assert	assert(m_buffer != nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	166	mapping-or-host-visibility	mapSizeInBytes	void unmap##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	166	mapping-or-host-visibility	unmap	void unmap##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	168	failure-or-loss	assert	assert(m_buffer != nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	169	mapping-or-host-visibility	mapSizeInBytes	m_buffer->flushContents(mapSizeInBytes); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	169	synchronization-or-submission	flushContents	m_buffer->flushContents(mapSizeInBytes); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	172	synchronization-or-submission	FlushUniformBuffer	IMPLEMENT_PLS_BUFFER(FlushUniformBuffer, m_flushUniformBuffer)	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	236	destruction-or-release	~DescriptorSetPool(	~DescriptorSetPool();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	238	construction-or-allocation	allocateDescriptorSet	VkDescriptorSet allocateDescriptorSet(VkDescriptorSetLayout);	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	239	destruction-or-release	reset	void reset();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	254	construction-or-allocation	acquire	rcp<DescriptorSetPool> acquire();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	263	destruction-or-release	~DescriptorSetAllocator(	~DescriptorSetAllocator();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	270	construction-or-allocation	allocatePerDrawDescriptorSet	VkDescriptorSet allocatePerDrawDescriptorSet();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	271	construction-or-allocation	allocateDescriptorSet	VkDescriptorSet allocateDescriptorSet(VkDescriptorSetLayout);	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	291	synchronization-or-submission	FlushDescriptor	const FlushDescriptor&,	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	333	synchronization-or-submission	FlushDescriptor	const FlushDescriptor& m_desc;	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	346	synchronization-or-submission	FlushDescriptor	void flush(const FlushDescriptor&) override;	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	346	synchronization-or-submission	flush	void flush(const FlushDescriptor&) override;	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	348	synchronization-or-submission	FlushDescriptor	void submitDrawList(const FlushDescriptor&,	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	348	synchronization-or-submission	submitDrawList	void submitDrawList(const FlushDescriptor&,	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	353	synchronization-or-submission	FlushResources	void postFlush(const RenderContext::FlushResources&) override;	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	44	failure-or-loss	error	"Vulkan error %s (%i) at line: %i in file: %s\n",	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	122	mapping-or-host-visibility	Mappability	enum class Mappability	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	134	destruction-or-release	~Resource(	virtual ~Resource() {}	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	145	destruction-or-release	~Buffer(	~Buffer() override;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	158	failure-or-loss	assert	assert(m_contents != nullptr);	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	165	synchronization-or-submission	flushContents	void flushContents(VkDeviceSize sizeInBytes = VK_WHOLE_SIZE);	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	175	mapping-or-host-visibility	Mappability	Buffer(rcp<VulkanContext>, const VkBufferCreateInfo&, Mappability);	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	179	mapping-or-host-visibility	Mappability	const Mappability m_mappability;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	192	destruction-or-release	delete	BufferPool(const BufferPool&) = delete;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	193	destruction-or-release	delete	BufferPool& operator=(const BufferPool&) = delete;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	200	construction-or-allocation	acquire	rcp<vkutil::Buffer> acquire();	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	218	destruction-or-release	~Image(	~Image() override;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	244	destruction-or-release	~ImageView(	~ImageView() override;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	316	synchronization-or-submission	barrier	void barrier(VkCommandBuffer,	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	345	synchronization-or-submission	barrier	barrier(commandBuffer, READ_ACCESS);	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	362	synchronization-or-submission	barrier	barrier(commandBuffer, READ_ACCESS);	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vkutil.hpp	420	destruction-or-release	~Framebuffer(	~Framebuffer() override;	vulkan:renderer:vkutil	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	62	destruction-or-release	~VulkanContext(	~VulkanContext();	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	77	construction-or-allocation	AllocateCommandBuffers	F(AllocateCommandBuffers) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	78	construction-or-allocation	AllocateDescriptorSets	F(AllocateDescriptorSets) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	104	construction-or-allocation	CreateCommandPool	F(CreateCommandPool) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	105	construction-or-allocation	CreateDescriptorPool	F(CreateDescriptorPool) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	106	construction-or-allocation	CreateDescriptorSetLayout	F(CreateDescriptorSetLayout) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	107	construction-or-allocation	CreateFramebuffer	F(CreateFramebuffer) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	108	construction-or-allocation	CreateFence	F(CreateFence) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	109	construction-or-allocation	CreateGraphicsPipelines	F(CreateGraphicsPipelines) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	110	construction-or-allocation	CreateImageView	F(CreateImageView) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	111	construction-or-allocation	CreatePipelineLayout	F(CreatePipelineLayout) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	112	construction-or-allocation	CreateRenderPass	F(CreateRenderPass) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	113	construction-or-allocation	CreateSampler	F(CreateSampler) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	114	construction-or-allocation	CreateShaderModule	F(CreateShaderModule) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	115	destruction-or-release	DestroyCommandPool	F(DestroyCommandPool) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	116	destruction-or-release	DestroyDescriptorPool	F(DestroyDescriptorPool) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	117	destruction-or-release	DestroyDescriptorSetLayout	F(DestroyDescriptorSetLayout) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	118	destruction-or-release	DestroyFence	F(DestroyFence) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	119	destruction-or-release	DestroyFramebuffer	F(DestroyFramebuffer) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	120	destruction-or-release	DestroyImageView	F(DestroyImageView) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	121	destruction-or-release	DestroyPipeline	F(DestroyPipeline) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	122	destruction-or-release	DestroyPipelineLayout	F(DestroyPipelineLayout) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	123	destruction-or-release	DestroyRenderPass	F(DestroyRenderPass) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	124	destruction-or-release	DestroySampler	F(DestroySampler) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	125	destruction-or-release	DestroyShaderModule	F(DestroyShaderModule) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	127	destruction-or-release	FreeCommandBuffers	F(FreeCommandBuffers) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	128	destruction-or-release	FreeDescriptorSets	F(FreeDescriptorSets) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	131	destruction-or-release	ResetCommandBuffer	F(ResetCommandBuffer) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	132	destruction-or-release	ResetDescriptorPool	F(ResetDescriptorPool) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	133	destruction-or-release	ResetFences	F(ResetFences) \	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	135	synchronization-or-submission	WaitForFences	F(WaitForFences)	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/include/rive/renderer/vulkan/vulkan_context.hpp	154	mapping-or-host-visibility	Mappability	vkutil::Mappability);	vulkan:renderer:vulkan_context	review-required
vulkan	renderer/src/ore/vulkan/ore_bind_group_layout_vulkan.hpp	16	destruction-or-release	~BindGroupLayoutVulkan(	~BindGroupLayoutVulkan() override;	vulkan:ore:bind_group_layout	review-required
vulkan	renderer/src/ore/vulkan/ore_bind_group_vulkan.cpp	14	destruction-or-release	~BindGroupVulkan(	BindGroupVulkan::~BindGroupVulkan() = default;	vulkan:ore:bind_group	review-required
vulkan	renderer/src/ore/vulkan/ore_bind_group_vulkan.cpp	49	failure-or-loss	assert	assert(m_uboWrites.size() + m_imageWrites.size() <= kMaxWrites);	vulkan:ore:bind_group	review-required
vulkan	renderer/src/ore/vulkan/ore_bind_group_vulkan.hpp	16	destruction-or-release	~BindGroupVulkan(	~BindGroupVulkan() override;	vulkan:ore:bind_group	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	15	destruction-or-release	~BufferVulkan(	BufferVulkan::~BufferVulkan()	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	31	construction-or-allocation	allocateBacking	BufferVulkan::Backing BufferVulkan::allocateBacking()	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	52	mapping-or-host-visibility	mappedPtr	b.mappedPtr = allocInfo.pMappedData;	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	63	construction-or-allocation	acquireFreshBacking	bool BufferVulkan::acquireFreshBacking(uint32_t writeOffset, uint32_t writeSize)	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	67	mapping-or-host-visibility	mappedPtr	void* oldMapped = m_pool[m_currentIndex].mappedPtr;	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	86	construction-or-allocation	allocateBacking	Backing nb = allocateBacking();	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	97	mapping-or-host-visibility	mappedPtr	memcpy(b.mappedPtr, oldMapped, m_size);	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	102	mapping-or-host-visibility	mappedPtr	m_vkMappedPtr = b.mappedPtr;	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	108	failure-or-loss	assert	assert(offset + size <= m_size);	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	112	construction-or-allocation	acquireFreshBacking	if (acquireFreshBacking(offset, size))	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.cpp	115	failure-or-loss	assert	assert(m_vkMappedPtr != nullptr);	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.hpp	23	destruction-or-release	~BufferVulkan(	~BufferVulkan() override;	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.hpp	46	mapping-or-host-visibility	mappedPtr	void* mappedPtr = nullptr;	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.hpp	55	construction-or-allocation	acquireFreshBacking	bool acquireFreshBacking(uint32_t writeOffset, uint32_t writeSize);	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_buffer_vulkan.hpp	56	construction-or-allocation	allocateBacking	Backing allocateBacking();	vulkan:ore:buffer	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	17	construction-or-allocation	createDSLFromLayoutDesc	#include "ore_vulkan_dsl.hpp" // for createDSLFromLayoutDesc	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	55	construction-or-allocation	CreateDescriptorPool	if (m_vk->CreateDescriptorPool(m_vk->device, &ci, nullptr, &m_vkPool) !=	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	62	destruction-or-release	~DescriptorPoolGeneration(	DescriptorPoolGeneration::~DescriptorPoolGeneration()	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	65	destruction-or-release	DestroyDescriptorPool	m_vk->DestroyDescriptorPool(m_vk->device, m_vkPool, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	78	construction-or-allocation	AllocateDescriptorSets	if (m_vk->AllocateDescriptorSets(m_vk->device, &allocInfo, &set) !=	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	225	destruction-or-release	~ContextVulkan(	ContextVulkan::~ContextVulkan()	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	236	destruction-or-release	DestroyFence	m_vk->DestroyFence(m_vk->device, m_vkFrameFence, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	240	destruction-or-release	DestroyRenderPass	m_vk->DestroyRenderPass(m_vk->device, rp, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	244	destruction-or-release	DestroyDescriptorPool	m_vk->DestroyDescriptorPool(m_vk->device, m_vkDescriptorPool, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	250	destruction-or-release	DestroyDescriptorSetLayout	m_vk->DestroyDescriptorSetLayout(m_vk->device, m_vkEmptyDSL, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	253	destruction-or-release	DestroyCommandPool	m_vk->DestroyCommandPool(m_vk->device, m_vkCommandPool, nullptr);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	260	construction-or-allocation	Make	std::unique_ptr<ContextVulkan> ContextVulkan::Make(	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	263	construction-or-allocation	new	auto ctx = std::unique_ptr<ContextVulkan>(new ContextVulkan(vk));	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	289	construction-or-allocation	CreateCommandPool	ctx->m_vk->CreateCommandPool(ctx->m_vk->device,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	300	construction-or-allocation	AllocateCommandBuffers	ctx->m_vk->AllocateCommandBuffers(ctx->m_vk->device,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	313	destruction-or-release	reset	dpCI.flags = 0; // No FREE_DESCRIPTOR_SET — we reset the whole pool.	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	317	construction-or-allocation	CreateDescriptorPool	ctx->m_vk->CreateDescriptorPool(ctx->m_vk->device,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	326	synchronization-or-submission	fenceCI	VkFenceCreateInfo fenceCI{};	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	327	synchronization-or-submission	fenceCI	fenceCI.sType = VK_STRUCTURE_TYPE_FENCE_CREATE_INFO;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	328	synchronization-or-submission	fenceCI	fenceCI.flags = VK_FENCE_CREATE_SIGNALED_BIT;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	329	construction-or-allocation	CreateFence	ctx->m_vk->CreateFence(ctx->m_vk->device,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	330	synchronization-or-submission	fenceCI	&fenceCI,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	385	construction-or-allocation	CreateDescriptorSetLayout	m_vk->CreateDescriptorSetLayout(m_vk->device, &ci, nullptr, &m_vkEmptyDSL);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	391	construction-or-allocation	newLayout	VkImageLayout newLayout)	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	398	construction-or-allocation	newLayout	if (vkTex->m_vkLayout == newLayout)	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	406	construction-or-allocation	newLayout	existing.newLayout = newLayout;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	414	construction-or-allocation	newLayout	newLayout,	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	468	synchronization-or-submission	barriers	std::vector<VkImageMemoryBarrier> barriers;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	469	synchronization-or-submission	barriers	barriers.reserve(m_vkPendingInitialTransitions.size());	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	479	construction-or-allocation	newLayout	if (vkTex->m_vkLayout == pt.newLayout)	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	487	construction-or-allocation	newLayout	pipelineStageAndAccessForLayout(pt.newLayout, &dstStage, &dstAccess);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	496	construction-or-allocation	newLayout	b.newLayout = pt.newLayout;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	505	synchronization-or-submission	barriers	barriers.push_back(b);	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	506	construction-or-allocation	newLayout	vkTex->m_vkLayout = pt.newLayout;	vulkan:ore:context	review-required
vulkan	renderer/src/ore/vulkan/ore_context_vulkan.cpp	508	synchronization-or-submission	barriers	if (!barriers.empty())	vulkan:ore:context	review-required
