version	upstream_sha	upstream_file	include_line	directive	include_token	include_syntax	active_branch_path	resolution_kind	resolved_source	source_unit	dependency_unit	correspondence_owner	correspondence_evidence	mapping_status	translation_status	translation_disposition	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	8	include	rive/rive_types.hpp	quote	(!defined(_RIVE_REFCNT_HPP_))	campaign-source	include/rive/rive_types.hpp	generic-refcnt	generic-rive-types	-	-	prepared	verified	required-source-edge	cpp:include/rive/refcnt.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	10	include	atomic	angle	(!defined(_RIVE_REFCNT_HPP_))	toolchain-header	toolchain:atomic	generic-refcnt	-	toolchain:atomic	toolchain:atomic	prepared	verified	toolchain-provided	cpp:include/rive/refcnt.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	11	include	cstddef	angle	(!defined(_RIVE_REFCNT_HPP_))	toolchain-header	toolchain:cstddef	generic-refcnt	-	toolchain:cstddef	toolchain:cstddef	prepared	verified	toolchain-provided	cpp:include/rive/refcnt.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	12	include	type_traits	angle	(!defined(_RIVE_REFCNT_HPP_))	toolchain-header	toolchain:type_traits	generic-refcnt	-	toolchain:type_traits	toolchain:type_traits	prepared	verified	toolchain-provided	cpp:include/rive/refcnt.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	13	include	utility	angle	(!defined(_RIVE_REFCNT_HPP_))	toolchain-header	toolchain:utility	generic-refcnt	-	toolchain:utility	toolchain:utility	prepared	verified	toolchain-provided	cpp:include/rive/refcnt.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	8	include	rive/enums.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/enums.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	9	include	rive/shapes/paint/color.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/shapes/paint/color.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	10	include	rive/command_path.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/command_path.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	11	include	rive/layout.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/layout.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	12	include	rive/refcnt.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	campaign-source	include/rive/refcnt.hpp	generic-renderer-contract	generic-refcnt	-	-	prepared	verified	required-source-edge	cpp:include/rive/renderer.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	13	include	rive/math/aabb.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/math/aabb.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	14	include	rive/math/mat2d.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/math/mat2d.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:14
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	15	include	rive/shapes/paint/blend_mode.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/shapes/paint/blend_mode.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	16	include	rive/shapes/paint/image_sampler.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	campaign-source	include/rive/shapes/paint/image_sampler.hpp	generic-renderer-contract	generic-image-sampler	-	-	prepared	verified	required-source-edge	cpp:include/rive/renderer.hpp:16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	17	include	rive/shapes/paint/stroke_cap.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/shapes/paint/stroke_cap.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:17
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	18	include	rive/shapes/paint/stroke_join.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/shapes/paint/stroke_join.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:18
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	19	include	utils/lite_rtti.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	campaign-source	include/utils/lite_rtti.hpp	generic-renderer-contract	generic-lite-rtti	-	-	prepared	verified	required-source-edge	cpp:include/rive/renderer.hpp:19
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	20	include	rive/math/raw_path.hpp	quote	(!defined(_RIVE_RENDERER_HPP_))	upstream-global-source	include/rive/math/raw_path.hpp	generic-renderer-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/renderer.hpp:20
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	21	include	stdio.h	angle	(!defined(_RIVE_RENDERER_HPP_))	toolchain-header	toolchain:stdio.h	generic-renderer-contract	-	toolchain:stdio.h	toolchain:stdio.h	prepared	verified	toolchain-provided	cpp:include/rive/renderer.hpp:21
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	22	include	cstdint	angle	(!defined(_RIVE_RENDERER_HPP_))	toolchain-header	toolchain:cstdint	generic-renderer-contract	-	toolchain:cstdint	toolchain:cstdint	prepared	verified	toolchain-provided	cpp:include/rive/renderer.hpp:22
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	12	include	memory	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:memory	generic-rive-types	-	toolchain:memory	toolchain:memory	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	13	include	string.h	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:string.h	generic-rive-types	-	toolchain:string.h	toolchain:string.h	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	44	include	TargetConditionals.h	angle	(!defined(_RIVE_TYPES_HPP_)) && (defined(__APPLE__))	toolchain-header	toolchain:TargetConditionals.h	generic-rive-types	-	toolchain:TargetConditionals.h	toolchain:TargetConditionals.h	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:44
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	58	include	algorithm	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:algorithm	generic-rive-types	-	toolchain:algorithm	toolchain:algorithm	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:58
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	59	include	cassert	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:cassert	generic-rive-types	-	toolchain:cassert	toolchain:cassert	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:59
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	60	include	cstddef	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:cstddef	generic-rive-types	-	toolchain:cstddef	toolchain:cstddef	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:60
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	61	include	cstdint	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:cstdint	generic-rive-types	-	toolchain:cstdint	toolchain:cstdint	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:61
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	62	include	memory	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:memory	generic-rive-types	-	toolchain:memory	toolchain:memory	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:62
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	63	include	type_traits	angle	(!defined(_RIVE_TYPES_HPP_))	toolchain-header	toolchain:type_traits	generic-rive-types	-	toolchain:type_traits	toolchain:type_traits	prepared	verified	toolchain-provided	cpp:include/rive/rive_types.hpp:63
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/shapes/paint/image_sampler.hpp	4	include	stdint.h	angle	(!defined(IMAGE_SAMPLER))	toolchain-header	toolchain:stdint.h	generic-image-sampler	-	toolchain:stdint.h	toolchain:stdint.h	prepared	verified	toolchain-provided	cpp:include/rive/shapes/paint/image_sampler.hpp:4
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/utils/lite_rtti.hpp	18	include	utils/compile_time_string_hash.hpp	quote	all	upstream-global-source	include/utils/compile_time_string_hash.hpp	generic-lite-rtti	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/utils/lite_rtti.hpp:18
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/utils/lite_rtti.hpp	19	include	rive/refcnt.hpp	quote	all	campaign-source	include/rive/refcnt.hpp	generic-lite-rtti	generic-refcnt	-	-	prepared	verified	required-source-edge	cpp:include/utils/lite_rtti.hpp:19
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/utils/lite_rtti.hpp	20	include	stdint.h	angle	all	toolchain-header	toolchain:stdint.h	generic-lite-rtti	-	toolchain:stdint.h	toolchain:stdint.h	prepared	verified	toolchain-provided	cpp:include/utils/lite_rtti.hpp:20
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/utils/lite_rtti.hpp	21	include	type_traits	angle	all	toolchain-header	toolchain:type_traits	generic-lite-rtti	-	toolchain:type_traits	toolchain:type_traits	prepared	verified	toolchain-provided	cpp:include/utils/lite_rtti.hpp:21
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/buffer_ring.hpp	7	include	rive/renderer/gpu.hpp	quote	all	campaign-source	renderer/include/rive/renderer/gpu.hpp	generic-buffer-ring	generic-gpu-contract	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/buffer_ring.hpp:7
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	7	include	rive/math/raw_path.hpp	quote	all	upstream-global-source	include/rive/math/raw_path.hpp	generic-render-context-implementation	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/draw.hpp:7
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	8	include	rive/renderer/gpu.hpp	quote	all	campaign-source	renderer/include/rive/renderer/gpu.hpp	generic-render-context-implementation	generic-gpu-contract	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/draw.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	9	include	rive/renderer/render_context.hpp	quote	all	campaign-source	renderer/include/rive/renderer/render_context.hpp	generic-render-context-implementation	generic-render-context-contract	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/draw.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	10	include	rive/renderer/fixed_queue.hpp	quote	all	upstream-global-source	renderer/include/rive/renderer/fixed_queue.hpp	generic-render-context-implementation	existing-rust:crates/nuxie-renderer/src/draw.rs	crates/nuxie-renderer/src/draw.rs	rust:crates/nuxie-renderer/src/draw.rs:1-4182	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/draw.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	11	include	rive/shapes/paint/stroke_cap.hpp	quote	all	upstream-global-source	include/rive/shapes/paint/stroke_cap.hpp	generic-render-context-implementation	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/draw.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	12	include	rive/shapes/paint/stroke_join.hpp	quote	all	upstream-global-source	include/rive/shapes/paint/stroke_join.hpp	generic-render-context-implementation	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/draw.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/draw.hpp	13	include	rive/refcnt.hpp	quote	all	campaign-source	include/rive/refcnt.hpp	generic-render-context-implementation	generic-refcnt	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/draw.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	7	include	rive/enums.hpp	quote	all	upstream-global-source	include/rive/enums.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:7
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	8	include	rive/math/aabb.hpp	quote	all	upstream-global-source	include/rive/math/aabb.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	9	include	rive/math/bitwise.hpp	quote	all	upstream-global-source	include/rive/math/bitwise.hpp	generic-gpu-contract	existing-rust:crates/nuxie-renderer/src/gpu.rs	crates/nuxie-renderer/src/gpu.rs	rust:crates/nuxie-renderer/src/gpu.rs:1-1072	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	10	include	rive/math/mat2d.hpp	quote	all	upstream-global-source	include/rive/math/mat2d.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	11	include	rive/math/vec2d.hpp	quote	all	upstream-global-source	include/rive/math/vec2d.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	12	include	rive/math/simd.hpp	quote	all	upstream-global-source	include/rive/math/simd.hpp	generic-gpu-contract	existing-rust:crates/nuxie-renderer/src/gpu.rs	crates/nuxie-renderer/src/gpu.rs	rust:crates/nuxie-renderer/src/gpu.rs:1-1072	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	13	include	rive/shapes/paint/blend_mode.hpp	quote	all	upstream-global-source	include/rive/shapes/paint/blend_mode.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	14	include	rive/shapes/paint/color.hpp	quote	all	upstream-global-source	include/rive/shapes/paint/color.hpp	generic-gpu-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:14
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	15	include	rive/renderer/trivial_block_allocator.hpp	quote	all	upstream-global-source	renderer/include/rive/renderer/trivial_block_allocator.hpp	generic-gpu-contract	existing-rust:crates/nuxie-renderer/src/logical_frame.rs	crates/nuxie-renderer/src/logical_frame.rs	rust:crates/nuxie-renderer/src/logical_frame.rs:1-4904	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:renderer/include/rive/renderer/gpu.hpp:15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	16	include	rive/shapes/paint/image_sampler.hpp	quote	all	campaign-source	include/rive/shapes/paint/image_sampler.hpp	generic-gpu-contract	generic-image-sampler	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/gpu.hpp:16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	18	include	functional	angle	all	toolchain-header	toolchain:functional	generic-gpu-contract	-	toolchain:functional	toolchain:functional	prepared	verified	toolchain-provided	cpp:renderer/include/rive/renderer/gpu.hpp:18
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	19	include	optional	angle	all	toolchain-header	toolchain:optional	generic-gpu-contract	-	toolchain:optional	toolchain:optional	prepared	verified	toolchain-provided	cpp:renderer/include/rive/renderer/gpu.hpp:19
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu_resource.hpp	7	include	rive/refcnt.hpp	quote	all	campaign-source	include/rive/refcnt.hpp	gpu-resource	generic-refcnt	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/gpu_resource.hpp:7
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu_resource.hpp	9	include	deque	angle	all	toolchain-header	toolchain:deque	gpu-resource	-	toolchain:deque	toolchain:deque	prepared	verified	toolchain-provided	cpp:renderer/include/rive/renderer/gpu_resource.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	7	include	rive/renderer/render_context_helper_impl.hpp	quote	all	campaign-source	renderer/include/rive/renderer/render_context_helper_impl.hpp	metal-render-context-api	generic-render-context-helper	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:7
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	8	include	rive/rive_types.hpp	quote	all	campaign-source	include/rive/rive_types.hpp	metal-render-context-api	generic-rive-types	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	9	include	rive/shapes/paint/image_sampler.hpp	quote	all	campaign-source	include/rive/shapes/paint/image_sampler.hpp	metal-render-context-api	generic-image-sampler	-	-	prepared	verified	required-source-edge	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	10	include	unordered_map	angle	all	toolchain-header	toolchain:unordered_map	metal-render-context-api	-	toolchain:unordered_map	toolchain:unordered_map	prepared	verified	toolchain-provided	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	11	include	mutex	angle	all	toolchain-header	toolchain:mutex	metal-render-context-api	-	toolchain:mutex	toolchain:mutex	prepared	verified	toolchain-provided	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:11
