version	upstream_sha	upstream_file	block	lines	branch_lines	configurations	source_behavior	rust_owner	rust_configuration	mapping_status	translation_status	translation_disposition	validation_disposition	exclusion_reason	remaining	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	platform-texture-compression	507-518	507,513	RIVE_IOS|RIVE_XROS|RIVE_APPLETVOS|simulators|macOS	Enables ETC2 and ASTC on mobile families; enables BC and Apple-Silicon ASTC on macOS.	crates/nuxie-renderer/src/native_metal/capabilities.rs	All six embedded Apple variants select ETC2 and ASTC with no BC; macOS selects BC, no ETC2, and ASTC only with Apple1 support.	prepared	verified	required	executable	-	Add the missing platform variants and compile-check every exact compression tuple.	rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:66-73
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	platform-atomic-barrier	520-560	520,525,541	RIVE_IOS|RIVE_XROS|RIVE_APPLETVOS|simulators|macOS	Chooses raster-order-group, memory, or render-pass-break barriers from platform, simulator host, and Metal-family support.	crates/nuxie-renderer/src/native_metal/capabilities.rs	Raster-order groups apply to iOS devices and every visionOS/tvOS target; iOS simulator alone branches on host arm64; macOS selects memory barrier, then ROG, then render-pass break from exact Metal families.	prepared	verified	required	executable	-	Translate all seven platform branches and run the old/discrete/simulator policy matrix.	rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:75-98
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	platform-metallib-data	584-605	584,587,590,593,596,599,602	RIVE_IOS|RIVE_IOS_SIMULATOR|RIVE_XROS|RIVE_XROS_SIMULATOR|RIVE_APPLETVOS|RIVE_APPLETVOS_SIMULATOR|macOS	Selects the matching embedded byte span when creating the precompiled Metal library.	crates/nuxie-renderer/src/native_metal/draw_shader.rs	The seven-way target owner selects exactly one generated byte span and records target, SDK, source digest, output digest, byte length, and exported-function inventory.	prepared	verified	required	executable	-	Generate and verify the full artifact identity matrix before V1 translation closure.	rust:crates/nuxie-renderer/src/native_metal/draw_shader.rs:247-285
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	preload-tools-none	697-700	697	WITH_RIVE_TOOLS	Passes synthesizedFailureType::none while preloading constructor raster ubershaders.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	Preload realization is independent of request failure injection and seeds the exact seven entries.	prepared	verified	required	executable	-	Keep context-level synthesizedFailureType inert during preload.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:362-425
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	bc7-non-iphone	927-933	927	TARGET_OS_IPHONE	Admits BC7 image textures only when the Apple target is not an iPhone-family target.	crates/nuxie-renderer/src/native_metal/image_texture.rs	TARGET_OS_IPHONE is true for iOS, tvOS, and visionOS SDK families: admit BC7 only on MacOs and reject it on all six embedded Apple variants through the source-equivalent image factory.	prepared	verified	required	executable	-	Replace any not-target_os-ios shortcut, wire the factory, and compile-check all seven targets.	rust:crates/nuxie-renderer/src/native_metal/image_texture.rs:225-381
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	rive-canvas-implementation	986-1021	986	RIVE_CANVAS	Creates a private render-target and shader-read texture, wraps both owners, and creates ORE from the same device and queue.	crates/nuxie-renderer/src/native_metal/render_canvas.rs	The mechanical body exists with one private RGBA8 render-target and shader-read texture retained by target and image owners; ORE uses the renderer service, but the source conditional is not preserved.	prepared	verified	required	executable	-	Gate the existing body and same-service ORE owner behind one RIVE_CANVAS-equivalent feature and verify both feature states.	rust:crates/nuxie-renderer/src/native_metal/render_canvas.rs:21-88;rust:crates/nuxie-renderer/src/native_metal/mod.rs:328-339
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	ubershader-load-failure	1140-1147	1140	WITH_RIVE_TOOLS	Returns nil before cache lookup or scheduling when ubershaderLoad failure is synthesized.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	The cache returns unavailable before mutation for UbershaderLoad.	prepared	verified	required	executable	-	Preserve the pre-lookup ordering for every translated draw family.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:59-77;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:574-585
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	compile-job-failure-field	1161-1163	1161	WITH_RIVE_TOOLS	Copies the flush descriptor failure type into a newly scheduled background compile job.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	PipelineLookup maps ShaderCompilation into the scheduled BackgroundCompileJob.	prepared	verified	required	executable	-	Retain one job submission per absent exact key.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:750-780
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	current-request-pipeline-failure	1200-1203	1200	WITH_RIVE_TOOLS	Uses the current lookup descriptor's failure type while realizing every drained completion, including unrelated jobs.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	The cache preserves the pinned current-request pipeline-creation failure quirk during completion draining.	prepared	verified	required	executable	-	Keep the quirk explicitly tested when all general draw lookups move behind the cache.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:780-810
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	macos-fragment-memory-barrier	1866-1876	1866	RIVE_MACOSX	Calls the macOS fragment-to-fragment buffer and render-target memory barrier on supported OS versions.	crates/nuxie-renderer/src/native_metal/mod.rs	The memory-barrier policy emits the exact fragment stages and scopes on macOS.	prepared	verified	required	executable	-	Exercise on compatible discrete/Intel hardware in V7; other policies remain separate branches.	rust:crates/nuxie-renderer/src/native_metal/mod.rs:1612-1632
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.h	compile-job-tools-field	26-29	26	WITH_RIVE_TOOLS	Adds synthesizedFailureType to each queued background compile job with a none default.	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	BackgroundCompileJob always carries the exact typed value; production requests use None.	prepared	verified	required	executable	-	Keep the field private to the compiler/cache owner.	rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:1-30
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	atomic-source-include	18-22	18	RIVE_IOS	Excludes atomic shader source only on physical iOS; every other Apple platform includes it.	crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs	The exact predicate is not-rive-ios: IosDevice excludes atomic source; IosSimulator, both visionOS targets, both tvOS targets, and MacOs include it.	prepared	verified	required	executable	-	Add the four missing platform variants and prove source absence or equivalent artifact unreachability on physical iOS.	rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:550-566
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	image-rect-platform	162-168	162,164	RIVE_IOS	Makes imageRect unreachable on physical iOS and atomics-only on every other Apple platform.	crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs	IosDevice is unreachable; every other ApplePlatform variant requires atomics and emits DRAW_IMAGE plus DRAW_IMAGE_RECT.	prepared	verified	required	executable	-	Complete the seven-way platform type before translating the general imageRect draw branch.	rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:450-480
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	initialize-platform	175-200	175,177	RIVE_IOS	Makes atomic render-pass initialization unreachable on physical iOS; otherwise emits initialize, clear-store, and swizzle macros.	crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs	IosDevice is unreachable; every other variant is atomics-only and emits update-bounds and initialize macros, optional STORE_COLOR_CLEAR, rejects destination load, and optionally swizzles BGRA to RGBA.	prepared	verified	required	executable	-	Add every non-iOS variant and retain the exact asserted misc-flag combinations.	rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:480-520
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	resolve-platform	203-215	203,205	RIVE_IOS	Makes atomic render-pass resolve unreachable on physical iOS; otherwise emits resolve and optional coalesced-transfer macros.	crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs	IosDevice is unreachable; every other variant is atomics-only and emits update-bounds and resolve macros plus optional coalesced resolve and transfer.	prepared	verified	required	executable	-	Add every non-iOS variant before complete resolve translation is claimed.	rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:520-550
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	atomic-source-append	229-236	229	RIVE_IOS	Appends atomic draw source for atomics on non-iOS; physical iOS falls directly into raster-order source assembly.	crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs	When the platform is not IosDevice and interlock is atomics, append draw_path_common then atomic_draw; otherwise enter the raster-order source branch in exact fragment order.	prepared	verified	required	executable	-	Model all seven variants and prove exact source-fragment order for each platform.	rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:550-600
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	metal-language-version	279-285	279,282	RIVE_IOS|RIVE_IOS_SIMULATOR|other Apple	Uses Metal language 2.2 on iOS device/simulator and 2.3 on every other Apple platform.	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	The ios_family predicate selects Metal 2.2 for IosDevice and IosSimulator; both visionOS targets, both tvOS targets, and MacOs select Metal 2.3.	prepared	verified	required	executable	-	Add and compile-check the four missing device/simulator configurations with language 2.3.	rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:25-35;rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:235-245
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	shader-compilation-injection	292-299	292	WITH_RIVE_TOOLS	Skips native library creation when shaderCompilation failure is synthesized.	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	The compiler returns a typed synthesized failure without calling the native compilation callback.	prepared	verified	required	executable	-	Keep native compiler errors distinct from synthesized failures.	rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:260-290
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	shader-failure-log-routing	310-317	310	WITH_RIVE_TOOLS	Logs a stable synthesized-failure message instead of dumping native shader source and compiler diagnostics.	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	Synthesized failures retain a typed diagnostic while native errors preserve source-bearing failure detail.	prepared	verified	required	executable	-	Publish both categories in V4 failure evidence.	rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:260-290
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/background_shader_compiler.mm	shader-failure-assertion	335-338	335	WITH_RIVE_TOOLS	Allows the intentional shaderCompilation failure through the debug assertion that rejects unexpected compiler failure.	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	Expected synthesized failure is a normal typed result; unexpected worker panic is contained and reported.	prepared	verified	required	executable	-	Retain fail-closed behavior in release and validation builds without reproducing an abort.	rust:crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs:260-290
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l15	15-17	15	if defined(DEBUG) && defined(NDEBUG)	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:15-17, including branch lines 15, under if defined(DEBUG) && defined(NDEBUG).	crates/nuxie-renderer/src/native_metal/mod.rs	Reject contradictory or missing build-mode selection in the preparation/build gate; cfg(debug_assertions) is DEBUG and its inverse is NDEBUG/RELEASE.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:15-17
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l19	19-27	19	if !defined(DEBUG) && !defined(NDEBUG)	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:19-27, including branch lines 19, under if !defined(DEBUG) && !defined(NDEBUG).	crates/nuxie-renderer/src/native_metal/mod.rs	Reject contradictory or missing build-mode selection in the preparation/build gate; cfg(debug_assertions) is DEBUG and its inverse is NDEBUG/RELEASE.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:19-27
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l29	29-37	29,33	ifdef NDEBUG | else // debug mode	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:29-37, including branch lines 29,33, under ifdef NDEBUG | else // debug mode.	crates/nuxie-renderer/src/native_metal/mod.rs	Map DEBUG to cfg(debug_assertions) and NDEBUG/RELEASE to its inverse; preserve whether debug-only expressions are evaluated or absent.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:29-37
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l30	30-32	30	ifndef RELEASE	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:30-32, including branch lines 30, under ifndef RELEASE.	crates/nuxie-renderer/src/native_metal/mod.rs	Map DEBUG to cfg(debug_assertions) and NDEBUG/RELEASE to its inverse; preserve whether debug-only expressions are evaluated or absent.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:30-32
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l34	34-36	34	ifndef DEBUG	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:34-36, including branch lines 34, under ifndef DEBUG.	crates/nuxie-renderer/src/native_metal/mod.rs	Map DEBUG to cfg(debug_assertions) and NDEBUG/RELEASE to its inverse; preserve whether debug-only expressions are evaluated or absent.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:34-36
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l41	41-54	41	ifdef __APPLE__	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:41-54, including branch lines 41, under ifdef __APPLE__.	crates/nuxie-renderer/src/native_metal/mod.rs	Use cfg(target_vendor = "apple"); Apple subfamilies are selected only through the frozen seven-way ApplePlatform mapping.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:41-54
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l46	46-50	46,48	if TARGET_OS_IPHONE | elif TARGET_OS_MAC	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:46-50, including branch lines 46,48, under if TARGET_OS_IPHONE | elif TARGET_OS_MAC.	crates/nuxie-renderer/src/native_metal/mod.rs	Use the frozen seven-way ApplePlatform family; TARGET_OS_IPHONE includes iOS, tvOS, and visionOS device and simulator families, while TARGET_OS_MAC selects MacOs.	prepared	verified	required	executable	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:46-50
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l66	66-80	66,70,74	if defined(__GNUC__) || defined(__clang__) | elif _MSC_VER | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:66-80, including branch lines 66,70,74, under if defined(__GNUC__) || defined(__clang__) | elif _MSC_VER | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:66-80
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l82	82-86	82,84	if __cplusplus >= 201703L | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:82-86, including branch lines 82,84, under if __cplusplus >= 201703L | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Rust language attributes provide the C++17 maybe-unused/fallthrough behavior; validate both source branches as one compile-link adaptation.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:82-86
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l88	88-94	88,90,92	if __cplusplus >= 201703L | elif defined(__clang__) | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:88-94, including branch lines 88,90,92, under if __cplusplus >= 201703L | elif defined(__clang__) | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Rust language attributes provide the C++17 maybe-unused/fallthrough behavior; validate both source branches as one compile-link adaptation.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:88-94
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l96	96-100	96,98	if defined(__GNUC__) || defined(__clang__) | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:96-100, including branch lines 96,98, under if defined(__GNUC__) || defined(__clang__) | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:96-100
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l105	105-107	105	ifndef __has_attribute	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:105-107, including branch lines 105, under ifndef __has_attribute.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:105-107
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l108	108-113	108,111	if defined(__clang__) && __has_attribute(no_thread_safety_analysis) | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:108-113, including branch lines 108,111, under if defined(__clang__) && __has_attribute(no_thread_safety_analysis) | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:108-113
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l115	115-123	115,121	if defined(__GNUC__) || defined(__clang__) | else	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:115-123, including branch lines 115,121, under if defined(__GNUC__) || defined(__clang__) | else.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:115-123
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	include-rive-rive-types-hpp-l118	118-120	118	ifndef __has_builtin	Preserves the complete pinned preprocessor block at include/rive/rive_types.hpp:118-120, including branch lines 118, under ifndef __has_builtin.	crates/nuxie-renderer/src/native_metal/mod.rs	Use Rust language/compiler intrinsics for unreachable, inline, thread-safety annotation, and copy behavior; retain every fallback as compile-link correspondence.	prepared	verified	required	compile-link-only	-	Mechanically translate every branch into the assigned source-shaped target and attach compile or execution evidence before advancing translation_status.	cpp:include/rive/rive_types.hpp:118-120
