id	actual_rust_callsites	execution_path	ownership_class	expected_phase_sequence	multiplicity	handle_identity_relation	predecessor_reverse_order_constraints	exact_failure_ordinal	required_non_synthetic_probe	current_missing_ids_or_events
RC-PD-FEATHER	FeatherAtlasPipeline::new	resize_feather first nonzero allocation creates fill then stroke	strong lexical descriptor	Create>LastUse(state_create)>Release	2	one distinct handle per fill/stroke	within each: functions/9 children/state transfer precede PD release	feather_pipeline[fill,stroke]#1_descriptor_alloc	actual lazy resize_feather success and fail each occurrence	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-FEATHER-V	FeatherAtlasPipeline::new	resize_feather lazy fill/stroke	new-family strong full-expression	Create>LastUse(setVertexFunction)>Release	2	distinct per pipeline	Release before fragment Create	feather_pipeline[i]#2_new_vertex_function	actual fill/stroke function failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-FEATHER-F	FeatherAtlasPipeline::new	resize_feather lazy fill/stroke	new-family strong full-expression	Create>LastUse(setFragmentFunction)>Release	2	distinct UE/VE functions	Release before first attachment borrow	feather_pipeline[i]#3_new_fragment_function	actual UE and VE failure paths	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ATT-FEATHER-0-X9	set_pipeline_attachment called nine times per FeatherAtlasPipeline	resize_feather lazy fill/stroke	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	18 total; 9 per pipeline	each access may yield same native child but each alias generation/scope distinct; parent=PD-FEATHER	each AliasEnd before next accessor; all before state create	feather_pipeline[i]#4..12_colorAttachmentAtIndex	actual nine setters for fill and stroke; assert 18 scoped accesses and parent invalidation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-NS-FUNCTION-NAME-V	precompiled_name>make_precompiled_function_name>DrawPipeline::new	canonical ctor raster pipeline loop and explicit DrawPipeline path	autoreleased +0 NSString borrowed through constructor selector	CreateBridge>Borrow(newFunctionWithName)>AliasEnd	1 per DrawPipeline	producer pointer exactly equals selector argument and AliasEnd identity	vertex and fragment name objects survive both function calls; their autorelease scope ends outside DrawPipeline constructor	precompiled_name_pair#1_stringWithFormat	actual NSString producer then DrawPipeline; pointer equality through selector and pool drain	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-NS-FUNCTION-NAME-F	precompiled_name>make_precompiled_function_name>DrawPipeline::new	canonical ctor raster pipeline loop and explicit DrawPipeline path	autoreleased +0 NSString borrowed through constructor selector	CreateBridge>Borrow(newFunctionWithName)>AliasEnd	1 per DrawPipeline	producer pointer equals fragment selector argument	both names outlive constructor calls; fragment alias ends with caller autorelease scope	precompiled_name_pair#2_stringWithFormat	actual fragment name producer/pointer equality/pool drain	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PD-DRAW-X2	DrawPipeline::new build closure	one valid DrawPipeline construction with RGBA then BGRA	strong lambda-local descriptor	Create>LastUse(state_create)>Release	2 distinct	RGBA/BGRA handles and native identities distinct	within each framebuffer strong release and borrowed-alias end precede descriptor release; complete RGBA scope precedes BGRA Create	draw_pipeline alloc/init occurrences 1..2; state-selector failures 1..2	actual DrawPipeline success plus every descriptor/state selector occurrence; exact retirement call/event axes	CLOSED: two exact triplets, state-selector LastUse ordinals, exactly-once retirements, framebuffer-before-descriptor and RGBA-before-BGRA order asserted
RC-ATT-DRAW-FB-X2	DrawPipeline::new build closure	valid RGBA/BGRA DrawPipeline	named strong attachment local plus borrowed collection alias	BorrowAlias>CreateStrong>LastUse(state_create)>ReleaseStrong>AliasEnd	2	strong clone alias differs from accessor alias but shares its native identity; parent=matching PD-DRAW	ReleaseStrong before AliasEnd before PD release; complete RGBA scope precedes BGRA	draw_pipeline framebuffer clone occurrences 1..2	actual Recording clone source/native relation and Apple retain-count probe; both clone failures fail closed	CLOSED: each named local is one independent +1/drop, borrowed alias closes once, clone failure never substitutes +0 or advances formats
RC-DRAW-LAMBDA-GPU	DrawPipeline::new clone_owned(device)	valid DrawPipeline construction	strong block-capture owner	CreateClone>LastUse(second format state create)>Release	1	clone alias differs from source device alias and shares exact native identity; both pipeline selectors receive clone alias	Release after fragment then vertex release and both format descriptor scopes	draw_pipeline device clone occurrence 1	forced clone failure plus successful two-format Recording path and Apple independent-retain probe	CLOSED: exact source/clone/native relation, two selector uses, one clone drop, source survival, reverse fragment>vertex>capture release asserted
RC-ATT-DRAW-CLIP	DrawPipeline raster-order build	valid raster-order DrawPipeline both formats	descriptor-owned +0 expression child	Borrow>LastUse(setPixelFormat)>AliasEnd	2	parent=per-format PD-DRAW; each alias generation distinct	AliasEnd immediately after setter and before scratch borrow/framebuffer LastUse	draw_pipeline colorAttachments and colorAttachmentAtIndex occurrences 1..8	actual RasterOrdering two-format build plus every collection/child accessor failure	CLOSED: multiplicity, parent, distinct identity, setter ordinal, exact retirement axes, order and all accessor failures asserted
RC-ATT-DRAW-SCRATCH	DrawPipeline raster-order build	valid raster-order DrawPipeline both formats	descriptor-owned +0 expression child	Borrow>LastUse(setPixelFormat)>AliasEnd	2	parent=per-format PD-DRAW; each alias generation distinct	clip AliasEnd before scratch Borrow; scratch AliasEnd before coverage Borrow	draw_pipeline colorAttachments and colorAttachmentAtIndex occurrences 1..8	actual RasterOrdering two-format build plus every collection/child accessor failure	CLOSED: multiplicity, parent, distinct identity, setter ordinal, exact retirement axes, order and all accessor failures asserted
RC-ATT-DRAW-COVERAGE	DrawPipeline raster-order build	valid raster-order DrawPipeline both formats	descriptor-owned +0 expression child	Borrow>LastUse(setPixelFormat)>AliasEnd	2	parent=per-format PD-DRAW; each alias generation distinct	scratch AliasEnd before coverage Borrow; coverage AliasEnd before framebuffer/state LastUse	draw_pipeline colorAttachments and colorAttachmentAtIndex occurrences 1..8	actual RasterOrdering two-format build plus every collection/child accessor failure	CLOSED: multiplicity, parent, distinct identity, setter ordinal, exact retirement axes, order and all accessor failures asserted
RC-FN-DRAW-V	DrawPipeline::new	valid DrawPipeline	strong constructor local	Create>LastUse(both format state creates)>Release	1	same function handle supplied to both descriptors	Release after both format scopes; fragment Release before vertex Release	draw_pipeline newFunctionWithName occurrence 1	actual library function creation, two descriptor assignments, both state builds and exact failure cleanup	CLOSED: exact triplet, shared identity across two descriptors, one actual retirement and fragment>vertex>capture reverse order asserted
RC-FN-DRAW-F	DrawPipeline::new	valid DrawPipeline	strong constructor local	Create>LastUse(both format state creates)>Release	1	same function handle supplied to both descriptors	Release before vertex but after both format scopes	draw_pipeline newFunctionWithName occurrence 2	actual library function creation, two descriptor assignments, both state builds and exact failure cleanup	CLOSED: exact triplet, shared identity across two descriptors, one actual retirement and fragment>vertex>capture reverse order asserted
RC-SD-IMAGE-X18	RenderContextMetal::new image sampler nested loop	canonical constructor successful metallib path	strong loop-local sampler descriptor	Create>LastUse(newSamplerState)>Release	18	one descriptor handle/generation per ImageSampler key	iteration i release before iteration i+1 create; sampler member takes returned state	context_ctor.samplers[0..17]#descriptor_alloc	actual full constructor and fail each descriptor/state ordinal	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-DD-METALLIB	RenderContextMetal::new dispatch_data_create	canonical constructor success and metallib error return	strong dispatch local	Create>LastUse(library call and all later ctor work)>Release	1	same dispatch handle passed to library call and released	on error ERR-METALLIB releases first; on success gaussian/error releases before data	context_ctor#dispatch_data_create	actual dispatch creation nil and library object/error combinations	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ERR-METALLIB	RenderContextMetal::new gpu_call_with_error	canonical constructor metallib load failure	strong NSError out-local	Create>LastUse(log)>Release	0_or_1	error native identity stable through description/log	Release before DD-METALLIB on early return; on success/error object member assignment precedes log/release	context_ctor#newLibraryWithData_error_out	actual object+error, nil+error, nil+nil using native/scripted ObjectCreation owner	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-GAUSSIAN	make_gaussian_texture then RenderContextMetal::new	canonical constructor successful metallib path	strong constructor-local texture descriptor	Create>LastUse(two uploads and all later ctor members)>Release	1	same descriptor used for texture creation; texture owner independent	Release after all pipelines/buffers; before ERR-METALLIB then DD-METALLIB	context_ctor#gaussian_descriptor_alloc	actual full constructor; fail descriptor/texture and later ctor calls while proving descriptor live	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-MEMORYLESS-X3	make_texture called by three RenderTargetMetal lazy allocations	target color/clip/scratch lazy texture creation	strong helper-local texture descriptor	Create>LastUse(newTexture)>Release	3; one per target plane	descriptor identity passed to its texture creation	Release immediately after creation expression; each call independent	target_lazy[color,clip,scratch]#descriptor_alloc	actual target methods with nil/success creation per plane	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-IMAGE-UPLOAD	make_upload_texture>TextureMetal::new	create source image with upload/mips	strong constructor-local texture descriptor	Create>LastUse(all mip uploads+dispatch install)>Release	1	same descriptor creates native texture; descriptor distinct from texture	Release after all replaceRegion calls and complete TextureMetal install	texture_metal_new#descriptor_alloc	actual compressed/uncompressed multi-mip upload and allocation failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-MIP	TextureMetal::ensure_mipmaps	mark dirty then flush/use image	strong conditional blit encoder local	Create>LastUse(endEncoding then dirty=false)>Release	0_or_1	same encoder from create through end/release	Release after dirty clear; nil encoder still clears dirty with no owner event	ensure_mipmaps#blitCommandEncoder	actual dirty texture with success and nil encoder	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-CANVAS	make_canvas_texture>RenderContextMetal::make_render_canvas>product wrapper	native-ore feature canvas creation	strong function-local texture descriptor	Create>LastUse(final RenderCanvas construction)>Release	1	same descriptor creates canvas texture	Release after image+target+canvas complete construction; texture local already released before descriptor	make_render_canvas#descriptor_alloc	feature-enabled actual canvas success and nil texture allocation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TEX-CANVAS-LOCAL	RenderContextMetal::make_render_canvas	native-ore feature canvas creation	new-family strong texture local	Create>CloneToTarget>CloneToImage>ReleaseLocal	1	native pointer same across three +1 owners; registry handles may differ	local release after target and image assignment, before descriptor release; retain 1>2>3>2	make_render_canvas#newTextureWithDescriptor	actual retained native texture count through public canvas creation and nil allocation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-GRAD-RESIZE	make_resize_texture>resize_gradient	nonzero gradient resize	strong function-local descriptor	Create>LastUse(texture replacement)>Release	0_or_1	same descriptor to texture call	old texture replacement completes before descriptor release	resize_gradient#descriptor_alloc	actual zero and nonzero resize; texture creation failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-TESS-RESIZE	make_resize_texture>resize_tessellation	nonzero tess resize	strong function-local descriptor	Create>LastUse(texture replacement)>Release	0_or_1	same descriptor to texture call	old texture replacement before descriptor release	resize_tessellation#descriptor_alloc	actual zero/nonzero/failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-TD-FEATHER-RESIZE	make_resize_texture>resize_feather	nonzero feather resize first and subsequent	strong function-local descriptor	Create>LastUse(texture replacement and lazy fill/stroke pipeline construction)>Release	0_or_1 per call	same descriptor to texture creation	if first allocation, both lazy pipeline constructors complete before release	resize_feather#descriptor_alloc	actual zero/nonzero first/subsequent and pipeline failpoints	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-CB-RETAINED	RenderContextMetal::make_command_buffer	beginFrame after queue installed	opaque +1 bridge owner	Create>TransferOpaque>ReleaseInCommit	1 per frame	same command native pointer/opaque token across all phases	Create before flush strong clone; commit transfer consumes final opaque owner	frame#commandBuffer_retained	actual queue command allocation nil/success through commit	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-CB-TRANSFER	RenderContextMetal::commit_command_buffer/Objc2 commit	finish source frame	opaque owner consumed into strong helper local	TransferIn>LastUse(commit)>Release	1 per frame	identity equals RC-CB-RETAINED native pointer	postFlush strong/block installation precedes commit; release after commit selector	frame#commit_bridge_transfer	actual begin>flush>postFlush>commit with retain observation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-CB-FLUSH-STRONG	RenderContextMetal::flush clone_owned(command)	any nonempty/empty flush	strong flush-scope command local	CreateClone>LastUse(all encoders)>Release	1 per flush	native pointer equals opaque command; clone registry handle may differ	Release after main encoder/pass/attachments; before postFlush clone	flush#command_strong_clone	actual minimal flush plus all optional blocks	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-CB-POST-STRONG	RenderContextMetal::post_flush clone_owned(command)	postFlush after flush	strong postFlush-scope command local	CreateClone>LastUse(addCompletedHandler)>Release	1 per frame	native pointer equals opaque command	block copy/install completes before local release; synchronous failure also releases	post_flush#command_strong_clone	actual handler install success/failure and native retain count	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-BLOCK-COMPLETE	post_flush add_completed_handler and callback	actual command completion and install failure	stack block copied by command buffer	BorrowStack>CopyTransfer>Invoke>ReleaseCopy	1 per frame	callback identity distinct; captured ring pointer/token stable	CopyTransfer before post strong release; Invoke unlocks ring before token signal; Release after invoke	post_flush#addCompletedHandler	actual install success callback/error and install failure; observe ring/token/context lifetime	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PS-GRAD	flush gradient block clone_owned color pipeline state	flush with gradSpanCount>0	strong block-local clone of member pipeline	CreateClone>LastUse(draw)>Release	1	native pointer equals color member state; clone handle may differ	Release after encoder then pass teardown at gradient block exit	flush.gradient#pipeline_clone	actual gradient flush and state clone failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPD-GRAD	flush gradient block renderPassDescriptor	flush with gradSpanCount>0	strong block-local pass descriptor	Create>LastUse(encoder creation)>Release	1	same pass handle through attachment and encoder call	ENC-GRAD release<RPA release<RPD release	flush.gradient#renderPassDescriptor	actual gradient block success/fail descriptor/encoder	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-GRAD-0	three pass_attachment gradient expressions	flush with gradSpanCount>0	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	3	parent=RPD-GRAD; same native child may recur with distinct alias generations; no retain	each AliasEnd precedes the next accessor and all precede encoder creation	flush.gradient#colorAttachmentAtIndex[1..3]	actual child parent invalidation/no-retain and exact accessor failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-GRAD	flush gradient encoder	flush with gradSpanCount>0	strong block-local encoder	Create>LastUse(endEncoding)>Release	1	same encoder	Release before attachment/pass and pipeline local	flush.gradient#renderCommandEncoder	actual encoder nil/success and draw	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PS-TESS	flush tess block clone_owned tess pipeline state	flush with tessVertexSpanCount>0	strong block-local clone	CreateClone>LastUse(draw)>Release	1	native pointer equals tess member pipeline	Release after encoder/pass teardown at block exit	flush.tess#pipeline_clone	actual tess flush and clone failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPD-TESS	flush tess block renderPassDescriptor	flush with tessVertexSpanCount>0	strong block-local pass descriptor	Create>LastUse(encoder creation)>Release	1	same handle	ENC release<RPA release<RPD release	flush.tess#renderPassDescriptor	actual tess block	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-TESS-0	three pass_attachment tess expressions	flush with tessVertexSpanCount>0	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	3	parent=RPD-TESS; distinct alias generations; no retain	each AliasEnd precedes the next accessor and all precede encoder creation	flush.tess#colorAttachmentAtIndex[1..3]	actual parent/child invalidation and exact accessor failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-TESS	flush tess encoder	flush with tessVertexSpanCount>0	strong block-local encoder	Create>LastUse(endEncoding)>Release	1	same handle	Release before attachment/pass/pipeline	flush.tess#renderCommandEncoder	actual encoder failure/success	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PS-ATLAS-FILL	flush feather atlas fill_state_owner	flush with fill batch count>0	strong block-local clone	CreateClone>LastUse(last fill draw)>Release	1	native pointer equals fill pipeline member	stroke local declared later releases before fill; both after encoder/pass	flush.atlas#fill_pipeline_clone	actual atlas fill-only and fill+stroke	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PS-ATLAS-STROKE	flush feather atlas stroke_state_owner	flush with stroke batch count>0	strong block-local clone	CreateClone>LastUse(last stroke draw)>Release	1	native pointer equals stroke pipeline member	Release before fill local at block reverse teardown	flush.atlas#stroke_pipeline_clone	actual stroke-only and fill+stroke	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPD-ATLAS	flush atlas renderPassDescriptor	flush with any atlas batch	strong block-local pass descriptor	Create>LastUse(encoder creation)>Release	1	same handle	ENC release<RPA release<stroke release<fill release<RPD release according declaration scopes	flush.atlas#renderPassDescriptor	actual atlas block	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-ATLAS-0	four pass_attachment atlas expressions	flush with atlas batch	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	4	parent=RPD-ATLAS; distinct alias generations; no retain	each AliasEnd precedes the next accessor and all precede encoder creation	flush.atlas#colorAttachmentAtIndex[1..4]	actual parent invalidation and exact accessor failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-ATLAS	flush atlas encoder	flush with atlas batch	strong block-local encoder	Create>LastUse(endEncoding)>Release	1	same handle	Release before attachment/pass and pipeline locals	flush.atlas#renderCommandEncoder	actual success/nil encoder	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPD-MAIN	flush main renderPassDescriptor	flush with any target/draw list	strong flush-local pass descriptor	Create>RepeatedLastUse(encoder creation)>Release	1	same pass reused across every helper call	all attachment expressions end before their corresponding encoder call; every encoder generation releases before pass	flush.main#renderPassDescriptor	actual zero/one/two-break paths plus descriptor and encoder failures	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-MAIN-COLOR	one pass_attachment expression per color property	all main flushes	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	3_or_4_plus_breaks	parent=RPD-MAIN; each access has a distinct alias generation and zero retain	each expression ends before the next accessor; break loadAction ends before replacement helper call	flush.main#attachment0[n]	actual clear/load/dontCare and zero/one/two-break expression/failure paths	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-MAIN-CLIP	four pass_attachment expressions at index1	RasterOrdering main flush	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	0_or_4	parent=RPD-MAIN; distinct alias generations; zero retain	each expression ends before the next accessor and before main encoder creation	flush.main#attachment1[1..4]	actual raster-order main flush and every accessor failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-MAIN-SCRATCH	three pass_attachment expressions at index2	RasterOrdering main flush	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	0_or_3	parent=RPD-MAIN; distinct alias generations; zero retain	each expression ends before the next accessor and before main encoder creation	flush.main#attachment2[1..3]	actual raster-order main flush and every accessor failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-RPA-MAIN-COVERAGE	four pass_attachment expressions at index3	RasterOrdering main flush	descriptor-owned +0 expression child	Borrow>LastUse(one setter)>AliasEnd	0_or_4	parent=RPD-MAIN; distinct alias generations; zero retain	each expression ends before the next accessor and before main encoder creation	flush.main#attachment3[1..4]	actual raster-order main flush and every accessor failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-COPY	flush atomic initialization blitCommandEncoder	Atomics main flush needing color atomic copy	strong conditional block local	Create>LastUse(endEncoding)>Release	0_or_1	same encoder	Release before begin_draw_pass main encoder	flush.main#blitCommandEncoder	actual atomic copy success and exact nil encoder failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-HELPER	begin_draw_pass returned encoder	main pass creation and every renderPassBreak	strong helper return handoff	Create>TransferToCaller	1_plus_breaks	returned handle identity becomes the corresponding RC-ENC-MAIN generation	replacement helper transfers new RHS before old RC-ENC-MAIN release	begin_draw_pass[n]#renderCommandEncoder	actual zero/one/two-break paths and every encoder creation failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ENC-MAIN	begin_draw_pass caller local and replacements	main flush with zero/one/multiple breaks	strong flush-local encoder	TransferIn>LastUse(endEncoding)>Release	1_plus_breaks	each generation equals its helper return; replacements are distinct	for each break: end old, attachment load expression, create/transfer new, then release old; final release before pass	flush.main.encoder_generation[n]	actual zero/one/two-break paths and every replacement failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PS-DRAW	batch loop clone_owned pipeline.pipeline_state	main flush with at least two batches	strong per-batch local clone	CreateClone>LastUse(draw submission)>Release	1 per admitted batch	native pointer equals selected DrawPipeline member state	batch i Release before batch i+1 state clone; on preflight continue no clone/use	flush.main.batch[i]#pipeline_clone	actual path/image/mesh batches including foreign mesh early continue	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ATT-COLLECTION-PIPE	pipeline_attachment internal colorAttachments getter	every pipeline attachment access	autoreleased/descriptor-owned collection expression	Borrow>LastUse(child lookup)>AliasEnd	1 per child access	collection parent=descriptor; child lookup receives exact collection alias; zero native retain	collection ends after indexed child accessor and before the child setter expression	pipeline_attachment[n]#colorAttachments_getter	actual getter/child failures plus collection and child retain-neutral parent invalidation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
